match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2025-09-20_FC Volendam - SBV Excelsior,2848570581,1,0,32,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,3.57,34.748000000000005,2,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848575747,1,3,0,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,2.415,29.036000000000005,1,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848579467,1,4,41,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,3.2550000000000003,30.736000000000004,1,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848597103,1,13,3,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.7250000000000005,33.184,0,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848607443,1,18,13,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,4utx4h5jz14whtjawxn7ox0r8,N. Verschuren,3.57,40.188,1,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848609957,1,19,55,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.41,33.932,1,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848615653,1,25,35,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,4.7250000000000005,32.096000000000004,5,action_limit,False,
2025-09-20_FC Volendam - SBV Excelsior,2848618503,1,29,2,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.83,33.388000000000005,5,action_limit,False,
2025-09-20_FC Volendam - SBV Excelsior,2848627973,1,36,15,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.41,32.912,1,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848637713,1,40,45,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,c9epkro6fot3km9zak1kswfhm,X. Mbuyamba,3.9899999999999998,25.432000000000002,1,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848638907,1,41,19,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.41,33.592,1,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848703287,2,56,14,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,3.7800000000000002,32.708000000000006,0,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848726743,2,69,2,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,5.25,34.136,0,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848739805,2,82,30,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,2.94,39.984,0,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848742057,2,84,24,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,3.9899999999999998,33.864,0,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848748573,2,90,10,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,3.465,34.068000000000005,0,turnover,False,
2025-09-20_FC Volendam - SBV Excelsior,2848750857,2,92,16,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,3.465,33.456,0,turnover,False,
