match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,end_x,end_y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833262433,1,1,42,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.1450000000000005,41.208000000000006,4.305,33.728,1,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833267587,1,6,35,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.04,41.14,3.9899999999999998,33.32,3,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833268723,1,7,36,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,4.095,28.832,77.59500000000001,37.264,0,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833272445,1,10,53,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,cs4aca71qkt1ru20ppmi6djl6,M. Kovář,3.2550000000000003,33.932,16.17,42.84,5,action_limit,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833275219,1,13,22,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,3.9899999999999998,42.568000000000005,2.52,33.388000000000005,5,action_limit,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833276753,1,14,45,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.1450000000000005,42.772000000000006,4.095,35.088,1,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833277577,1,15,21,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,cs4aca71qkt1ru20ppmi6djl6,M. Kovář,4.305,35.7,14.490000000000002,41.14,2,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833278779,1,16,30,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,5.775,32.572,71.08500000000001,34.408,1,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833282143,1,19,35,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,cs4aca71qkt1ru20ppmi6djl6,M. Kovář,3.8850000000000002,33.728,10.5,20.400000000000002,3,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833283957,1,21,3,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,cs4aca71qkt1ru20ppmi6djl6,M. Kovář,3.6750000000000003,34.204,35.175000000000004,2.72,0,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833284579,1,21,43,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,1.05,33.728,73.29,10.132000000000001,0,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833288605,1,25,33,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,3.6750000000000003,33.932,16.485,62.968,5,action_limit,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833293123,1,30,52,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,4.095,41.956,3.2550000000000003,33.79600000000001,2,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833293703,1,31,38,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.460000000000001,42.024,2.7300000000000004,33.592,3,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833296771,1,34,49,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,3.8850000000000002,38.692,3.57,33.11600000000001,2,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833322157,2,46,4,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,cs4aca71qkt1ru20ppmi6djl6,M. Kovář,2.8350000000000004,32.708000000000006,7.455,20.060000000000002,3,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833326859,2,53,3,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,2.205,34.476000000000006,6.405,19.176000000000002,3,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833331525,2,59,10,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,cs4aca71qkt1ru20ppmi6djl6,M. Kovář,2.205,36.312000000000005,12.075000000000001,47.940000000000005,5,action_limit,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833332711,2,60,57,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,4.2,42.432,3.57,33.388000000000005,2,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833334949,2,64,33,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,cs4aca71qkt1ru20ppmi6djl6,M. Kovář,3.2550000000000003,34.884,11.55,47.940000000000005,5,action_limit,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833336133,2,66,33,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,4.620000000000001,41.548,3.1500000000000004,35.088,5,action_limit,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833336915,2,68,0,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,4.41,42.432,4.620000000000001,33.79600000000001,1,turnover,False,
2025-08-09_PSV Eindhoven - Sparta Rotterdam,2833343337,2,83,20,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,6ab5gq2owk86qs5zjottfhwmi,T. Quintero,4.620000000000001,41.344,3.1500000000000004,34.068000000000005,2,turnover,False,
